F1978	.	004C	0020	0008	SITELEN PONA IDEOGRAPH NAMAKO
F193D	.	004D	0020	0008	SITELEN PONA IDEOGRAPH NANPA
F193E	.	004E	0020	0008	SITELEN PONA IDEOGRAPH NASA
F193F	.	004F	0020	0008	SITELEN PONA IDEOGRAPH NASIN
F1940	.	0050	0020	0008	SITELEN PONA IDEOGRAPH NENA
F1941	.	0051	0020	0008	SITELEN PONA IDEOGRAPH NI
F1942	.	0052	0020	0008	SITELEN PONA IDEOGRAPH NIMI
F1943	.	0053	0020	0008	SITELEN PONA IDEOGRAPH NOKA
F1944	.	0054	0020	0008	SITELEN PONA IDEOGRAPH O
F197A	.	0055	0020	0008	SITELEN PONA IDEOGRAPH OKO
F1945	.	0056	0020	0008	SITELEN PONA IDEOGRAPH OLIN
F1946	.	0057	0020	0008	SITELEN PONA IDEOGRAPH ONA
F1947	.	0058	0020	0008	SITELEN PONA IDEOGRAPH OPEN
F1948	.	0059	0020	0008	SITELEN PONA IDEOGRAPH PAKALA
F19A0	.	005A	0020	0008	SITELEN PONA IDEOGRAPH PAKE
F1949	.	005B	0020	0008	SITELEN PONA IDEOGRAPH PALI
F194A	.	005C	0020	0008	SITELEN PONA IDEOGRAPH PALISA
F194B	.	005D	0020	0008	SITELEN PONA IDEOGRAPH PAN
F194C	.	005E	0020	0008	SITELEN PONA IDEOGRAPH PANA
F194D	.	005F	0020	0008	SITELEN PONA IDEOGRAPH PI
F194E	.	0060	0020	0008	SITELEN PONA IDEOGRAPH PILIN
F194F	.	0061	0020	0008	SITELEN PONA IDEOGRAPH PIMEJA
F1950	.	0062	0020	0008	SITELEN PONA IDEOGRAPH PINI
F1951	.	0063	0020	0008	SITELEN PONA IDEOGRAPH PIPI
F1952	.	0064	0020	0008	SITELEN PONA IDEOGRAPH POKA
F1953	.	0065	0020	0008	SITELEN PONA IDEOGRAPH POKI
F1954	.	0066	0020	0008	SITELEN PONA IDEOGRAPH PONA
F19A3	.	0067	0020	0008	SITELEN PONA IDEOGRAPH POWE
F1955	.	0068	0020	0008	SITELEN PONA IDEOGRAPH PU
F1956	.	0069	0020	0008	SITELEN PONA IDEOGRAPH SAMA
F1957	.	006A	0020	0008	SITELEN PONA IDEOGRAPH SELI
F1958	.	006B	0020	0008	SITELEN PONA IDEOGRAPH SELO
F1959	.	006C	0020	0008	SITELEN PONA IDEOGRAPH SEME
F195A	.	006D	0020	0008	SITELEN PONA IDEOGRAPH SEWI
F195B	.	006E	0020	0008	SITELEN PONA IDEOGRAPH SIJELO
F195C	.	006F	0020	0008	SITELEN PONA IDEOGRAPH SIKE
F195D	.	0070	0020	0008	SITELEN PONA IDEOGRAPH SIN
F195E	.	0071	0020	0008	SITELEN PONA IDEOGRAPH SINA
